payment_id,customer_id,staff_id,rental_id,amount,payment_date
1,67,2,7222,4.16,2024-10-07 08:55:11
2,224,2,1371,2.7,2024-09-10 06:56:30
3,206,1,12909,4.76,2024-02-11 09:50:47
4,218,2,11026,11.12,2024-05-15 18:12:06
5,251,1,95,6.81,2024-02-11 01:03:29
6,69,2,2747,6.24,2024-01-24 21:05:33
7,185,2,11250,9.39,2024-11-28 08:01:32
8,517,1,4914,9.65,2024-05-27 16:39:03
9,131,1,4231,9.36,2024-11-19 17:37:00
10,216,1,10089,4.36,2024-08-08 19:57:39
11,300,2,5586,8.32,2024-02-13 09:57:26
12,8,1,11577,4.14,2024-11-04 04:32:47
13,216,2,13966,6.06,2024-05-11 03:21:27
14,382,2,2967,3.43,2024-08-02 05:25:18
15,265,2,8349,9.97,2024-04-05 17:18:36
16,492,2,4790,11.88,2024-02-09 07:42:43
17,520,2,4359,10.76,2024-10-19 12:13:40
18,79,1,6855,4.13,2024-02-11 07:21:35
19,63,2,5382,4.92,2024-10-22 09:26:43
20,300,1,12162,3.65,2024-12-12 17:55:53
21,154,2,11308,3.2,2024-05-09 12:25:05
22,449,1,2484,7.36,2024-12-05 15:11:53
23,406,2,12523,10.99,2024-03-05 05:37:11
24,309,1,15737,2.98,2024-11-06 13:30:01
25,284,1,5651,3.98,2024-09-07 10:40:51
26,248,1,7515,8.3,2024-03-15 09:06:51
27,493,1,14631,6.0,2024-01-30 18:11:38
28,363,1,5911,6.77,2024-08-12 07:29:37
29,11,2,12026,1.95,2024-10-10 20:58:14
30,290,1,12234,1.88,2024-09-13 18:10:32
31,297,1,13264,10.17,2024-11-20 07:24:06
32,281,1,7701,4.53,2024-02-28 16:18:56
33,559,2,9377,4.04,2024-04-14 12:30:42
34,532,2,14341,1.57,2024-09-08 10:05:21
35,127,1,4335,9.17,2024-03-23 20:33:08
36,223,1,5110,2.68,2024-12-26 02:31:26
37,598,1,726,6.38,2024-06-15 16:07:24
38,328,1,10796,11.25,2024-12-14 00:16:57
39,352,1,1438,9.61,2024-10-26 15:35:33
40,360,1,1472,8.99,2024-01-10 00:19:19
41,532,2,4232,8.3,2024-01-13 11:42:44
42,164,2,9891,5.76,2024-08-20 09:17:59
43,460,1,2199,10.68,2024-08-17 13:58:45
44,520,1,6935,4.04,2024-03-29 13:51:56
45,574,2,1667,7.77,2024-04-24 16:14:27
46,108,2,2560,1.59,2024-08-14 23:12:15
47,447,2,14115,6.31,2024-03-10 02:41:06
48,246,2,4046,4.58,2024-02-18 15:07:05
49,522,1,12665,3.49,2024-06-01 15:43:03
50,257,2,5868,9.12,2024-10-18 02:05:26
51,88,2,9076,2.08,2024-12-27 21:01:14
52,499,2,11986,7.34,2024-09-25 07:34:19
53,44,1,10448,8.33,2024-11-04 11:04:18
54,565,2,11617,3.63,2024-06-30 22:08:22
55,403,1,10031,5.61,2024-04-24 11:19:25
56,161,2,5348,8.58,2024-07-10 06:52:16
57,473,1,3303,9.38,2024-10-30 20:36:05
58,584,1,13512,3.3,2024-04-04 20:09:52
59,361,2,10552,11.26,2024-05-18 08:39:07
60,83,1,4409,11.56,2024-08-06 18:29:26
61,414,1,8591,10.76,2024-10-31 03:07:52
62,598,1,15166,7.25,2024-12-02 12:41:03
63,148,2,8130,2.11,2024-02-15 15:40:27
64,235,2,2150,10.92,2024-09-01 11:45:37
65,267,1,4245,3.01,2024-09-25 19:56:58
66,361,2,11099,6.89,2024-03-23 06:46:56
67,486,2,10538,7.08,2024-03-11 01:10:51
68,488,1,9403,9.84,2024-04-21 23:03:26
69,35,1,6948,5.95,2024-01-05 10:28:29
70,206,2,13434,4.41,2024-06-15 01:30:52
71,496,1,3259,1.87,2024-05-26 19:22:03
72,361,1,15267,1.55,2024-08-03 01:24:16
73,3,1,5596,9.91,2024-06-19 04:20:06
74,310,2,14099,6.67,2024-06-05 02:15:34
75,300,1,9276,10.37,2024-04-05 07:17:44
76,509,1,9462,2.97,2024-08-05 03:27:21
77,134,2,12320,2.77,2024-04-01 09:58:38
78,550,2,5997,3.67,2024-02-21 21:59:19
79,202,1,2341,8.29,2024-05-29 09:50:50
80,557,2,11775,8.64,2024-08-20 06:12:22
81,321,2,1231,8.19,2024-06-24 13:20:19
82,469,1,11220,5.84,2024-09-02 20:22:07
83,562,1,13546,5.49,2024-11-21 00:58:43
84,438,2,13831,7.85,2024-09-21 22:46:17
85,386,2,8992,8.86,2024-07-25 06:14:44
86,478,2,11250,7.89,2024-08-12 19:29:37
87,408,1,2629,9.91,2024-09-08 11:31:36
88,429,1,335,8.43,2024-10-29 08:21:19
89,165,2,1272,11.43,2024-09-18 03:16:34
90,419,1,12811,9.53,2024-10-11 07:06:23
91,381,2,4642,7.79,2024-01-09 05:30:07
92,268,1,15585,6.25,2024-12-22 08:39:12
93,109,1,10838,6.23,2024-11-02 20:44:27
94,244,1,100,10.46,2024-09-16 21:10:17
95,560,1,5850,3.26,2024-06-20 03:07:35
96,367,1,14021,11.98,2024-11-05 05:20:22
97,79,2,3390,3.78,2024-04-03 21:32:04
98,450,1,6822,9.73,2024-12-06 13:14:46
99,388,2,5270,7.17,2024-03-24 10:07:44
100,171,2,8642,1.16,2024-04-08 02:43:09
101,61,2,5353,6.27,2024-01-03 07:11:25
102,436,2,13013,1.03,2024-07-26 20:21:08
103,304,2,10540,8.82,2024-12-17 17:36:14
104,143,2,6622,11.82,2024-01-08 06:07:14
105,105,2,14797,9.81,2024-04-27 03:56:35
106,518,1,10322,1.44,2024-08-16 18:40:01
107,2,1,734,9.66,2024-08-07 06:09:30
108,23,1,6553,1.91,2024-06-17 01:05:33
109,263,1,15625,2.4,2024-10-09 15:08:37
110,404,1,2049,10.45,2024-08-19 03:27:41
111,484,1,5931,1.44,2024-05-05 13:05:19
112,559,1,7223,2.38,2024-03-25 05:21:05
113,577,1,6229,10.84,2024-07-20 18:35:31
114,122,2,5594,10.51,2024-01-30 10:06:12
115,47,2,8225,5.45,2024-01-05 17:35:59
116,448,1,5584,10.52,2024-08-03 20:51:26
117,244,2,4526,8.3,2024-01-30 17:45:09
118,427,2,12402,8.97,2024-03-03 01:59:30
119,161,2,12602,6.77,2024-03-25 06:45:08
120,168,1,8545,3.1,2024-08-09 10:10:45
121,310,2,3346,10.81,2024-04-19 00:23:08
122,236,2,4906,3.67,2024-12-18 15:34:14
123,12,2,3190,2.84,2024-03-14 12:21:55
124,477,2,8202,10.65,2024-03-25 02:28:04
125,444,2,4123,4.61,2024-04-15 14:17:16
126,266,1,8449,2.28,2024-08-07 09:35:14
127,347,1,12644,5.03,2024-11-22 11:32:53
128,564,1,3852,3.08,2024-03-08 16:35:11
129,314,2,13162,1.66,2024-01-05 05:00:55
130,34,2,13337,8.94,2024-10-25 10:16:50
131,237,2,12974,9.66,2024-12-12 15:09:05
132,553,1,9474,9.32,2024-01-29 13:04:25
133,549,2,7841,11.2,2024-05-31 15:15:03
134,482,2,10455,3.75,2024-12-19 20:18:02
135,28,2,13421,1.81,2024-01-17 14:31:14
136,27,2,6917,3.82,2024-08-24 18:06:39
