project_id,url,title,category,beneficiary,project_value_raw,project_value,eu_funding_raw,eu_funding,wojewodztwo,powiat,program,dzialanie,fundusz,perspektywa
1709965,https://mapadotacji.gov.pl/projekty/1709965/,Zakup 56 lokomotyw zeroemisyjnych oraz modernizacja 248 wagonów pasażerskich,transport,"""PKP INTERCITY"" SPÓŁKA AKCYJNA","2 825 534 826,90 zł",2825534826.9,"2 162 032 704,80 zł",2162032704.8,projekt ogólnopolski,,Krajowy Plan Odbudowy i Zwiększania Odporności,9.8. E2.1.2. Pasażerski tabor kolejowy,Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1691583,https://mapadotacji.gov.pl/projekty/1691583/,Zakup 10 elektrycznych zespołów trakcyjnych w celu poprawy dostępności transportowej mieszkańców województwa pomorskiego do rdzenia aglomeracji trójmiejskiej,transport,Województwo Pomorskie,"362 979 150,00 zł",362979150.0,"247 808 400,00 zł",247808400.0,pomorskie,warmińsko-mazurskie,Krajowy Plan Odbudowy i Zwiększania Odporności,9.8. E2.1.2. Pasażerski tabor kolejowy,Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1757648,https://mapadotacji.gov.pl/projekty/1757648/,Zakup Elektrycznych Zespołów Trakcyjnych do świadczenia kolejowych usług przewozowych – KPO,transport,Województwo Małopolskie,"301 363 038,00 zł",301363038.0,"185 280 000,00 zł",185280000.0,małopolskie,podkarpackie,Krajowy Plan Odbudowy i Zwiększania Odporności,9.8. E2.1.2. Pasażerski tabor kolejowy,Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1735570,https://mapadotacji.gov.pl/projekty/1735570/,Wdrożenie prośrodowiskowych technologii produkcji biogranulatu na bazie skrobi termoplastycznej z uwzględnieniem zasad gospodarki obiegu zamkniętego,ochrona środowiska,"""INWESTYCJE"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","4 427 550,00 zł",4427550.0,"2 244 575,00 zł",2244575.0,pomorskie,człuchowski,Krajowy Plan Odbudowy i Zwiększania Odporności,"1.13. A2.2.1. Inwestycje we wdrażanie technologii i innowacji środowiskowych, w tym związanych z GOZ",Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1736517,https://mapadotacji.gov.pl/projekty/1736517/,Realizacja G3.1.4 Wsparcie na rzecz krajowego systemu energetycznego (Fundusz wsparcia energetyki),,Bank Gospodarstwa Krajowego,"71 211 169 595,00 zł",71211169595.0,"71 211 169 595,00 zł",71211169595.0,projekt ogólnopolski,,Krajowy Plan Odbudowy i Zwiększania Odporności,13.4. G3.1.4 Wsparcie na rzecz krajowego systemu energetycznego (Fundusz wsparcia energetyki),Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1681147,https://mapadotacji.gov.pl/projekty/1681147/,Budowa morskich farm wiatrowych (Fundusz na rzecz Morskiej Energetyki Wiatrowej),"energetyka, ochrona środowiska",Ministerstwo Aktywów Państwowych,"21 376 030 500,00 zł",21376030500.0,"21 376 030 500,00 zł",21376030500.0,projekt ogólnopolski,,Krajowy Plan Odbudowy i Zwiększania Odporności,13.5. G3.1.5 Budowa morskich farm wiatrowych (Fundusz na rzecz morskiej energetyki wiatrowej),Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1670468,https://mapadotacji.gov.pl/projekty/1670468/,B3.4.1 Inwestycje na rzecz zielonej transformacji miast,ochrona środowiska,Ministerstwo Funduszy i Polityki Regionalnej,"14 794 706 525,00 zł",14794706525.0,"14 794 706 525,00 zł",14794706525.0,projekt ogólnopolski,,Krajowy Plan Odbudowy i Zwiększania Odporności,4.14. B3.4.1. Inwestycje na rzecz zielonej transformacji miast,Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1670198,https://mapadotacji.gov.pl/projekty/1670198/,A1.4.1. Inwestycje na rzecz dywersyfikacji i skracania łańcucha dostaw produktów rolnych i spożywczych oraz budowy odporności podmiotów uczestniczących w łańcuchu,rozwój firm,Ministerstwo Rolnictwa i Rozwoju Wsi,"10 639 859 189,36 zł",10639859189.36,"8 782 876 522,00 zł",8782876522.0,projekt ogólnopolski,,Krajowy Plan Odbudowy i Zwiększania Odporności,1.8. A1.4.1. Inwestycje na rzecz dywersyfikacji i skracania łańcucha dostaw produktów rolnych i spożywczych oraz budowy odporności podmiotów uczestniczących w łańcuchu,Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1746793,https://mapadotacji.gov.pl/projekty/1746793/,Instrument wsparcia dla gospodarki niskoemisyjnej,,Narodowy Fundusz Ochrony Środowiska i Gospodarki Wodnej,"4 809 987 847,00 zł",4809987847.0,"4 808 949 750,00 zł",4808949750.0,projekt ogólnopolski,,Krajowy Plan Odbudowy i Zwiększania Odporności,10.5. E3.1.1 Instrument wsparcia gospodarki niskoemisyjnej,Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1670486,https://mapadotacji.gov.pl/projekty/1670486/,"Modernizacja linii kolejowej nr 104 Chabówka – Nowy Sącz, na odc. Chabówka - Rabka Zaryte - Mszana Dolna oraz Limanowa - Klęczany - Nowy Sącz",transport,PKP Polskie Linie Kolejowe S.A.,"4 349 978 339,04 zł",4349978339.04,"3 536 567 755,33 zł",3536567755.33,małopolskie,limanowski,Krajowy Plan Odbudowy i Zwiększania Odporności,9.7. E2.1.1. Linie kolejowe,Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
